rank,name,pop2021
1,Columbus,913921
2,Cleveland,376599
3,Cincinnati,307266
4,Toledo,268609
5,Akron,197023
6,Dayton,140343
7,Parma,77065
8,Canton,69837
9,Youngstown,66687
10,Lorain,63597
11,Hamilton,61982
12,Springfield,58105
13,Kettering,54537
14,Elyria,53677
15,Newark,50943
16,Dublin,49923
17,Lakewood,49010
18,Cuyahoga Falls,48978
19,Middletown,48737
20,Beavercreek,48571
21,Mentor,47398
22,Mansfield,46721
23,Euclid,45908
24,Strongsville,44436
25,Delaware,43995
26,Cleveland Heights,43376
27,Westerville,42645
28,Fairfield,42448
29,Grove City,42314
30,Findlay,40987
31,Lancaster,40597
32,Warren,39514
33,Reynoldsburg,38549
34,Huber Heights,38208
35,Hilliard,36936
36,Lima,36183
37,North Ridgeville,35552
38,Gahanna,35455
39,Marion,35267
40,Upper Arlington,35240
41,Brunswick,34886
42,Stow,34705
43,Mason,34450
44,Boardman,34431
45,Fairborn,34240
46,Massillon,32866
47,Westlake,31750
48,Bowling Green,31406
49,North Olmsted,30955
50,North Royalton,29836
51,Kent,29766
52,Austintown,28488
53,Xenia,27385
54,Garfield Heights,27068
55,Troy,26739
56,Shaker Heights,26651
57,Wooster,26142
58,Barberton,25773
59,Medina,25766
60,Green,25728
61,Marysville,25609
62,Riverside,25149
63,Zanesville,25142
64,Avon Lake,24786
65,Wadsworth,24628
66,Athens,24420
67,Trotwood,24407
68,Sandusky,24318
69,Pickerington,24022
70,Avon,23739
71,Centerville,23619
72,Oxford,23588
73,Willoughby,23027
74,Solon,22585
75,Hudson,22205
76,Perrysburg,21802
77,Maple Heights,21766
78,Chillicothe,21756
79,Piqua,21696
80,Alliance,21122
81,South Euclid,21011
82,Miamisburg,20605
83,Lebanon,20529
84,Sidney,20365
85,Oregon,20343
86,Ashland,20011
87,Painesville,19952
88,Portsmouth,19944
89,Rocky River,19758
90,Norwood,19648
91,Sylvania,19531
92,Parma Heights,19530
93,White Oak,19271
94,Springboro,19245
95,Twinsburg,19044
96,Broadview Heights,18970
97,Whitehall,18850
98,Berea,18573
99,Forest Park,18493
100,Mayfield Heights,18311
101,Brook Park,18142
102,Niles,17920
103,Eastlake,17918
104,Ashtabula,17863
105,Tiffin,17646
106,Steubenville,17515
107,Tallmadge,17487
108,New Philadelphia,17372
109,North Canton,17026
110,Mount Vernon,16877
111,Norwalk,16837
112,East Cleveland,16730
113,Aurora,16652
114,Defiance,16596
115,Streetsboro,16502
116,Pataskala,16117
117,Fairview Park,15981
118,Fremont,15747
119,Middleburg Heights,15270
120,Bay Village,15040
121,Vandalia,14939
122,Worthington,14684
123,Bridgetown,14352
124,Monroe,14307
125,Circleville,14182
126,New Franklin,14103
127,Willowick,14077
128,Washington Court House,13999
129,Bexley,13650
130,Sharonville,13632
131,Brecksville,13610
132,Maumee,13579
133,Powell,13453
134,Bellefontaine,13433
