,date,Adams,Allen,Ashland,Ashtabula,Athens,Auglaize,Belmont,Brown,Butler,Carroll,Champaign,Clark,Clermont,Clinton,Columbiana,Coshocton,Crawford,Cuyahoga,Darke,Defiance,Delaware,Erie,Fairfield,Fayette,Franklin,Fulton,Gallia,Geauga,Greene,Guernsey,Hamilton,Hancock,Hardin,Harrison,Henry,Highland,Hocking,Holmes,Huron,Jackson,Jefferson,Knox,Lake,Lawrence,Licking,Logan,Lorain,Lucas,Madison,Mahoning,Marion,Medina,Meigs,Mercer,Miami,Monroe,Montgomery,Morgan,Morrow,Muskingum,Noble,Ottawa,Paulding,Perry,Pickaway,Pike,Portage,Preble,Putnum,Richland,Ross,Sandusky,Scioto,Seneca,Shelby,Stark,Summit,Trumbull,Tuscarawas,Union,Van Wert,Vinton,Warren,Washington,Wayne,Williams,Wood,Wyandot
0,1/4/2017,2.0,19.0,1.0,2.0,2.0,2.0,4.0,0.0,52.0,1.0,4.0,8.0,31.0,3.0,6.0,0.0,3.0,72,7.0,0.0,17.0,2.0,20.0,1.0,24.0,1.0,0.0,3.0,12.0,0.0,42.0,6.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,3.0,6.0,3.0,10.0,2.0,49.0,5.0,8.0,11.0,1.0,8.0,0.0,6.0,0.0,2.0,17.0,0.0,34.0,0.0,1.0,2.0,0.0,3.0,1.0,5.0,10.0,2.0,10.0,2.0,3.0,5.0,3.0,0.0,9.0,4.0,20.0,28.0,29.0,14.0,1.0,2.0,3.0,0.0,16.0,0.0,4.0,9.0,5.0,3.0
1,3/18/2019,10.0,17.0,4.0,3.0,3.0,9.0,9.0,0.0,143.0,3.0,3.0,12.0,22.0,5.0,7.0,10.0,12.0,172,5.0,2.0,24.0,4.0,15.0,1.0,48.0,2.0,2.0,4.0,17.0,1.0,46.0,5.0,2.0,3.0,1.0,9.0,2.0,1.0,18.0,1.0,3.0,11.0,26.0,12.0,20.0,5.0,30.0,17.0,4.0,16.0,7.0,17.0,1.0,7.0,14.0,2.0,40.0,0.0,8.0,22.0,0.0,4.0,1.0,2.0,8.0,4.0,31.0,1.0,2.0,6.0,16.0,2.0,5.0,3.0,8.0,28.0,31.0,26.0,13.0,4.0,0.0,1.0,26.0,3.0,9.0,6.0,16.0,1.0
2,5/20/2018,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,21,0.0,0.0,4.0,0.0,3.0,0.0,13.0,1.0,0.0,3.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,4.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,5.0,6.0,1.0,2.0,0.0,1.0,6.0,0.0,3.0,0.0,4.0,0.0
3,12/19/2018,0.0,3.0,8.0,2.0,3.0,0.0,2.0,2.0,101.0,0.0,2.0,12.0,17.0,5.0,6.0,0.0,2.0,116,7.0,3.0,15.0,1.0,27.0,0.0,24.0,2.0,4.0,8.0,13.0,1.0,34.0,7.0,1.0,0.0,3.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,4.0,3.0,23.0,16.0,15.0,19.0,3.0,8.0,2.0,6.0,0.0,4.0,8.0,0.0,24.0,0.0,5.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,10.0,8.0,1.0,7.0,1.0,5.0,0.0,5.0,1.0,43.0,17.0,18.0,7.0,7.0,1.0,0.0,21.0,0.0,9.0,6.0,17.0,4.0
4,2/20/2018,4.0,6.0,0.0,1.0,10.0,3.0,1.0,1.0,12.0,6.0,2.0,5.0,17.0,2.0,10.0,0.0,17.0,131,5.0,1.0,24.0,6.0,20.0,5.0,177.0,10.0,0.0,5.0,12.0,1.0,62.0,10.0,4.0,1.0,3.0,4.0,2.0,2.0,259.0,5.0,8.0,17.0,4.0,14.0,24.0,7.0,33.0,31.0,2.0,22.0,3.0,5.0,0.0,3.0,6.0,1.0,27.0,2.0,6.0,1.0,0.0,4.0,2.0,1.0,6.0,4.0,11.0,2.0,3.0,11.0,6.0,1.0,7.0,5.0,10.0,32.0,21.0,24.0,3.0,7.0,8.0,2.0,17.0,0.0,7.0,1.0,11.0,0.0
5,11/2/2017,0.0,2.0,0.0,2.0,7.0,1.0,2.0,4.0,20.0,0.0,5.0,4.0,25.0,2.0,1.0,0.0,2.0,148,1.0,3.0,13.0,0.0,13.0,0.0,51.0,0.0,0.0,8.0,9.0,1.0,47.0,5.0,1.0,0.0,4.0,4.0,0.0,2.0,6.0,2.0,9.0,2.0,8.0,1.0,10.0,4.0,15.0,29.0,0.0,10.0,2.0,35.0,0.0,4.0,12.0,0.0,43.0,1.0,2.0,7.0,0.0,3.0,0.0,6.0,4.0,2.0,8.0,2.0,4.0,2.0,4.0,0.0,3.0,1.0,2.0,32.0,28.0,20.0,3.0,5.0,0.0,0.0,20.0,1.0,6.0,0.0,9.0,0.0
6,7/22/2017,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,2.0,1.0,3.0,13.0,0.0,1.0,0.0,2.0,24,1.0,3.0,5.0,1.0,6.0,0.0,13.0,0.0,0.0,2.0,10.0,0.0,39.0,8.0,3.0,0.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,14.0,4.0,0.0,2.0,7.0,1.0,1.0,5.0,0.0,23.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,11.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,14.0,20.0,12.0,3.0,2.0,1.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0
7,1/29/2018,2.0,6.0,0.0,2.0,1.0,1.0,3.0,2.0,43.0,4.0,3.0,3.0,25.0,4.0,2.0,1.0,8.0,39,8.0,1.0,21.0,0.0,6.0,0.0,85.0,2.0,3.0,10.0,9.0,2.0,52.0,9.0,2.0,4.0,1.0,5.0,0.0,2.0,5.0,4.0,0.0,12.0,18.0,8.0,32.0,15.0,64.0,33.0,4.0,6.0,6.0,12.0,8.0,3.0,7.0,1.0,24.0,0.0,1.0,17.0,1.0,3.0,3.0,1.0,3.0,0.0,12.0,3.0,5.0,28.0,14.0,3.0,7.0,5.0,6.0,35.0,35.0,23.0,4.0,0.0,2.0,1.0,17.0,0.0,15.0,0.0,39.0,2.0
8,12/5/2016,0.0,8.0,1.0,1.0,0.0,0.0,9.0,0.0,40.0,10.0,0.0,13.0,14.0,1.0,9.0,13.0,5.0,22,10.0,2.0,11.0,1.0,21.0,5.0,301.0,1.0,0.0,4.0,5.0,0.0,59.0,4.0,3.0,10.0,0.0,2.0,0.0,0.0,3.0,4.0,4.0,3.0,26.0,8.0,10.0,0.0,25.0,11.0,4.0,22.0,3.0,15.0,1.0,4.0,30.0,3.0,19.0,22.0,1.0,15.0,0.0,2.0,0.0,7.0,3.0,3.0,7.0,0.0,2.0,21.0,17.0,44.0,14.0,2.0,20.0,46.0,20.0,15.0,1.0,5.0,0.0,0.0,41.0,0.0,6.0,0.0,2.0,4.0
9,8/13/2017,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,37,0.0,1.0,11.0,0.0,7.0,0.0,13.0,0.0,0.0,3.0,7.0,1.0,6.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0,1.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0
