"Adams County, Ohio",27698
"Allen County, Ohio",102351
"Ashland County, Ohio",53484
"Ashtabula County, Ohio",97241
"Athens County, Ohio",65327
"Auglaize County, Ohio",45656
"Belmont County, Ohio",67006
"Brown County, Ohio",43432
"Butler County, Ohio",383134
"Carroll County, Ohio",26914
"Champaign County, Ohio",38885
"Clark County, Ohio",134083
"Clermont County, Ohio",206428
"Clinton County, Ohio",41968
"Columbiana County, Ohio",101883
"Coshocton County, Ohio",36600
"Crawford County, Ohio",41494
"Cuyahoga County, Ohio",1235072
"Darke County, Ohio",51113
"Defiance County, Ohio",38087
"Delaware County, Ohio",209177
"Erie County, Ohio",74266
"Fairfield County, Ohio",157574
"Fayette County, Ohio",28525
"Franklin County, Ohio",1316756
"Fulton County, Ohio",42126
"Gallia County, Ohio",29898
"Geauga County, Ohio",93649
"Greene County, Ohio",168937
"Guernsey County, Ohio",38875
"Hamilton County, Ohio",817473
"Hancock County, Ohio",75783
"Hardin County, Ohio",31365
"Harrison County, Ohio",15040
"Henry County, Ohio",27006
"Highland County, Ohio",43161
"Hocking County, Ohio",28264
"Holmes County, Ohio",43960
"Huron County, Ohio",58266
"Jackson County, Ohio",32413
"Jefferson County, Ohio",65325
"Knox County, Ohio",62322
"Lake County, Ohio",230149
"Lawrence County, Ohio",59463
"Licking County, Ohio",176862
"Logan County, Ohio",45672
"Lorain County, Ohio",309833
"Lucas County, Ohio",428348
"Madison County, Ohio",44731
"Mahoning County, Ohio",228683
"Marion County, Ohio",65093
"Medina County, Ohio",179746
"Meigs County, Ohio",22907
"Mercer County, Ohio",41172
"Miami County, Ohio",106987
"Monroe County, Ohio",13654
"Montgomery County, Ohio",531687
"Morgan County, Ohio",14508
"Morrow County, Ohio",35328
"Muskingum County, Ohio",86215
"Noble County, Ohio",14424
"Ottawa County, Ohio",40525
"Paulding County, Ohio",18672
"Perry County, Ohio",36134
"Pickaway County, Ohio",58457
"Pike County, Ohio",27772
"Portage County, Ohio",162466
"Preble County, Ohio",40882
"Putnam County, Ohio",33861
"Richland County, Ohio",121154
"Ross County, Ohio",76666
"Sandusky County, Ohio",58518
"Scioto County, Ohio",75314
"Seneca County, Ohio",55178
"Shelby County, Ohio",48590
"Stark County, Ohio",370606
"Summit County, Ohio",541013
"Trumbull County, Ohio",197974
"Tuscarawas County, Ohio",91987
"Union County, Ohio",58988
"Van Wert County, Ohio",28275
"Vinton County, Ohio",13085
"Warren County, Ohio",234602
"Washington County, Ohio",59911
"Wayne County, Ohio",115710
"Williams County, Ohio",36692
"Wood County, Ohio",130817
"Wyandot County, Ohio",21772
