REGISTRATION_DATE,44,88,45,46,47,48,49,50,51,52,53,10,54,11,55,12,56,13,57,14,58,15,59,16,17,18,19,1,2,3,4,5,6,7,8,9,60,61,62,63,20,64,21,65,22,66,23,67,24,68,25,69,26,27,28,29,70,71,72,73,30,74,31,75,32,76,33,77,34,78,35,79,36,37,38,39,80,81,82,83,40,84,41,85,42,86,43,87
1/4/2017,2,3,49,5,8,11,1,8,,6,,1,2,4,17,8,,31,34,3,,6,1,,3,72,7,2,19,1,2,2,2,4,,52,2,,3,1,,5,17,10,2,2,20,10,1,2,24,3,1,,3,12,5,3,,9,,4,42,20,6,28,1,29,,14,2,1,2,1,2,4,2,3,,16,3,,6,4,3,9,10,5
3/18/2019,12,1,20,5,30,17,4,16,7,17,1,3,7,3,14,12,2,22,40,5,,7,8,10,12,172,5,10,17,4,3,3,9,9,,143,22,,4,1,2,2,24,8,4,4,15,31,1,1,48,2,2,2,4,17,6,16,2,5,1,3,46,8,5,28,2,31,3,26,1,13,9,2,1,18,4,,1,26,1,3,3,9,11,6,26,16
5/20/2018,,,4,1,6,1,,,1,1,,,1,1,3,2,,4,4,1,,,,,1,21,,,1,2,,,,,,7,1,,,,,,4,1,,1,3,2,,,13,,1,,3,2,1,,,,2,2,7,,1,9,,5,,6,,1,,,,,2,,1,6,1,,1,3,2,,6,4
12/19/2018,3,4,23,16,15,19,3,8,2,6,,,4,2,8,12,,17,24,5,,6,5,,2,116,7,,3,8,2,3,,2,2,101,4,,1,,3,2,15,4,1,,27,10,,8,24,1,2,4,8,13,7,1,5,,1,5,34,1,7,43,1,17,,18,3,7,4,2,1,5,7,1,,21,2,,2,9,2,6,4,17
2/20/2018,14,,24,7,33,31,2,22,3,5,,6,3,2,6,5,1,17,27,2,2,10,6,,17,131,5,4,6,,1,10,3,1,1,12,1,,4,2,1,1,24,6,6,4,20,11,5,2,177,3,10,,5,12,11,6,1,7,1,5,62,10,10,32,4,21,1,24,3,3,4,2,2,259,7,8,2,17,5,,8,7,17,1,4,11
11/2/2017,1,,10,4,15,29,,10,2,35,,,4,5,12,4,,25,43,2,1,1,2,,2,148,1,,2,,2,7,1,2,4,20,7,,3,,3,6,13,4,,2,13,8,,2,51,4,,,8,9,2,4,,3,1,1,47,2,5,32,1,28,,20,4,3,4,,2,6,5,,,20,2,1,9,6,2,,8,9
7/22/2017,,,1,5,3,14,4,,2,7,1,2,1,1,5,3,,13,23,,,1,3,,2,24,1,,2,,1,,,,1,15,2,,3,,3,1,5,3,1,,6,11,,,13,1,,,2,10,5,1,,,,2,39,,8,14,3,20,,12,2,3,2,2,2,6,2,1,,7,1,1,1,1,1,,1,2
1/29/2018,8,2,32,15,64,33,4,6,6,12,8,4,3,3,7,3,1,25,24,4,,2,1,1,8,39,8,2,6,,2,1,1,3,2,43,17,1,3,3,1,1,21,3,,,6,12,,3,85,5,2,3,10,9,28,14,3,7,2,5,52,6,9,35,2,35,4,23,1,4,5,,2,5,,2,1,17,4,,,15,12,,18,39
12/5/2016,8,4,10,,25,11,4,22,3,15,1,10,4,,30,13,3,14,19,1,22,9,1,13,5,22,10,,8,1,1,,,9,,40,15,,2,,2,7,11,3,1,3,21,7,5,,301,2,1,,4,5,21,17,44,14,,2,59,20,4,46,3,20,10,15,,1,2,,,3,5,,,41,4,,4,6,3,,26,2
8/13/2017,1,,1,,6,,,1,,5,,,2,1,1,1,,7,6,,,2,,,,37,,1,1,,2,,1,,,8,1,,1,,1,,11,4,,2,7,4,,1,13,,,,3,7,2,,2,,1,1,6,,3,6,,1,,4,3,,1,,,1,2,,,4,,,,2,,,6,4
